table,name,function,definition
correspondence_raw,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.correspondence_raw FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
custom_field,history_review_label,crm_history_review_custom_field_label,CREATE TRIGGER history_review_label AFTER UPDATE ON public.custom_field FOR EACH ROW EXECUTE FUNCTION crm_history_review_custom_field_label()
custom_field,mobile_custom_field_catalog_revision,crm_mobile_advance_metadata_catalog_revision,CREATE TRIGGER mobile_custom_field_catalog_revision AFTER INSERT OR DELETE OR UPDATE ON public.custom_field FOR EACH ROW EXECUTE FUNCTION crm_mobile_advance_metadata_catalog_revision()
custom_field,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.custom_field FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
custom_field_option,history_review_label,crm_history_review_custom_field_option_label,CREATE TRIGGER history_review_label AFTER UPDATE ON public.custom_field_option FOR EACH ROW EXECUTE FUNCTION crm_history_review_custom_field_option_label()
custom_field_option,mobile_custom_field_option_catalog_revision,crm_mobile_advance_metadata_catalog_revision,CREATE TRIGGER mobile_custom_field_option_catalog_revision AFTER INSERT OR DELETE OR UPDATE ON public.custom_field_option FOR EACH ROW EXECUTE FUNCTION crm_mobile_advance_metadata_catalog_revision()
custom_field_option,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.custom_field_option FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
fub_call_record_corrected,family_refresh_measure,crm_family_refresh_measure,CREATE TRIGGER family_refresh_measure AFTER INSERT OR DELETE OR UPDATE ON public.fub_call_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_refresh_measure()
fub_call_record_corrected,history_correction_immutable,reject_mutation,CREATE TRIGGER history_correction_immutable BEFORE DELETE OR UPDATE ON public.fub_call_record_corrected FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_call_record_corrected,history_correction_no_truncate,reject_mutation,CREATE TRIGGER history_correction_no_truncate BEFORE TRUNCATE ON public.fub_call_record_corrected FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
fub_call_record_corrected,history_version_apply,crm_family_history_version_apply,CREATE TRIGGER history_version_apply AFTER INSERT ON public.fub_call_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_apply()
fub_call_record_corrected,history_version_guard,crm_family_history_version_guard,CREATE TRIGGER history_version_guard BEFORE INSERT ON public.fub_call_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_guard()
fub_call_record_imported,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.fub_call_record_imported FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
fub_call_record_imported,fub_call_record_imported_immutable,reject_mutation,CREATE TRIGGER fub_call_record_imported_immutable BEFORE DELETE OR UPDATE ON public.fub_call_record_imported FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_call_record_imported,history_import_count,crm_history_import_fact_count,CREATE TRIGGER history_import_count AFTER INSERT ON public.fub_call_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_count()
fub_call_record_imported,history_import_guard,crm_history_import_fact_guard,CREATE TRIGGER history_import_guard BEFORE INSERT ON public.fub_call_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_guard()
fub_event_record_corrected,family_refresh_measure,crm_family_refresh_measure,CREATE TRIGGER family_refresh_measure AFTER INSERT OR DELETE OR UPDATE ON public.fub_event_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_refresh_measure()
fub_event_record_corrected,history_correction_immutable,reject_mutation,CREATE TRIGGER history_correction_immutable BEFORE DELETE OR UPDATE ON public.fub_event_record_corrected FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_event_record_corrected,history_correction_no_truncate,reject_mutation,CREATE TRIGGER history_correction_no_truncate BEFORE TRUNCATE ON public.fub_event_record_corrected FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
fub_event_record_corrected,history_version_apply,crm_family_history_version_apply,CREATE TRIGGER history_version_apply AFTER INSERT ON public.fub_event_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_apply()
fub_event_record_corrected,history_version_guard,crm_family_history_version_guard,CREATE TRIGGER history_version_guard BEFORE INSERT ON public.fub_event_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_guard()
fub_event_record_imported,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.fub_event_record_imported FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
